ID#	completionStatus	timeSpent	startTime	lastModTime	Q7: Age	Q8: What is your gender?	Q9: How much total combined money did all members of your HOUSEHOLD earn last year?	Q10: US Region	Q11: Device Types	Q1: What are your favorite brands? (Please list at least 3.)	Q2 - Being able to shop new arrivals as soon as they arrive in stores	Q2 - Being able to shop sales items as soon as they are discounted	Q2 - Being able to walk away with the purchase right away (for example: no delay associated with online shopping)	Q2 - Fun and inspiration	Q2 - Readily available celebrity-inspired outfits	Q2 - Recommendations from a professional personal stylist	Q2 - Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers	Q2 - Saving the effort of hunting for things you like from many stores in the mall (i.e. \u201cWouldn\u2019t it be great if all the garments that I like are at one central location?")	Q2 - Skipping the crowds at malls or boutiques	Q2 - Trying a garment on in person prior to making a purchase	Q2 - What else is important to you when it comes to shopping?	Q3 - What features of this service are useful to you?	Q3 - What do you NOT like about it? Or, what features are NOT useful or irrelevant to you?	Q3 - What are your questions/concerns regarding this service?	Q3 - How much would you pay for a service like this? (Feel free to enter any amount. Or put "I wouldn't use it.")	Q4 - What features of this service are useful to you?	Q4 - What features are NOT useful or irrelevant to you?	Q4 - What are your questions/concerns regarding this service?	Q4 - How much would you pay for a service like this? (Feel free to enter any amount. Or put "I wouldn't use it.")	Q5 - Which 1 of the two services in the previous two questions would you use? (Please state question 3 or question 4.)	Q5 - How many times a month do you shop ONLINE?	Q5 - How many times a month do you shop IN STORES?	Q6: You purchase clothes/shoes/accessories because... (select all that apply)
24	INCOMPLETE	572	2015-11-20 14:06:40	2015-11-20 14:16:12	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	J. Crew, Banana Republic, Brandy Melville	Not important at all.	Very important	Pretty important	Somewhat important	Not important at all.	Not important at all.	A little important. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> A little important. >> Skipping the crowds at malls or boutiques >> Somewhat important >> Trying a garment on in person prior to making a purchase >> Pretty important >> What else is important to you when it comes to shopping? >> Price, quality and value. Otherwise, it's just not worth my time or money	walk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Somewhat important >> Readily available celebrity-inspired outfits >> Not important at all. >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> A little important. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> A little important.	Somewhat important	Pretty important	Price, quality and value. Otherwise, it's just not worth my time or money.	no lines	i do not care for personal shopping	I don't want someone picking things out for me or waiting for me to try things on. Seems like unwanted attention/too much pressure	I wouldn't use this service	garments i like set aside	personal shopper waiting on me	I don't want someone waiting for me to try things on. Seems like unwanted attention/too much pressure.	Honestly, I would only pay for clothing items, like rent the runway. I would not pay for the service.				Respondent skipped this question
25	COMPLETE	766	2015-11-20 14:05:41	2015-11-20 14:18:27	45 - 59	Female	$125,000 to $149,999	Middle Atlantic	iOS Phone / Tablet	Marc jacobs , guess, Calvin Klein, tommy hill finger,Nike, puma, reebok	Somewhat important	Extremely important	Somewhat important	Extremely important	Somewhat important	Not important at all.	Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important >> Skipping the crowds at malls or boutiques >> Somewhat important >> Trying a garment on in person prior to making a purchase >> Extremely importan	to walk away with the purchase right away (for example: no delay associated with online shopping) >> Somewhat important >> Fun and inspiration >> Extremely important >> Readily available celebrity-inspired outfits >> Somewhat important >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important	Somewhat important	Extremely importan	in stores >> Somewhat important >> Being able to shop sales items as soon as they are discounted >> Extremely important >> Being able to walk away with the purchase right away (for example: no delay associated with online shopping) >> Somewhat important >> Fun and inspiration >> Extremely important >> Readily available celebrity-inspired outfits >> Somewhat important >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important >> Skipping the crowds at malls or boutiques >> Somewhat important >> Trying a garment on in person prior to making a purchase >> Extremely important	Is not for me	I'm not really interested	None	I wouldn't use it	None	Not interested	None	I wouldn't use it	3	1	2	for fun >> I go shopping regularly >> before going on a date >> for special occasions (e.g. interviews, friend's wedding, holidays, etc) >> when I feel like I don't have new clothes to wear >> for the new styles that are trending this season >> when I'm inspired by a friend's or a celebrity's outfit
26	INCOMPLETE	974	2015-11-20 14:04:24	2015-11-20 14:20:39	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Athleta, Justice, Gap, Old Navy, White House Black Market, Express	Pretty important	Very important	Somewhat important	Somewhat important	Not important at all.	Pretty important	Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Pretty important >> Skipping the crowds at malls or boutiques >> Very important >> Trying a garment on in person prior to making a purchase >> Very important >> What else is important to you when it comes to shopping? >> good prices, good quality, stylish and class	away with the purchase right away (for example: no delay associated with online shopping) >> Somewhat important >> Fun and inspiration >> Somewhat important >> Readily available celebrity-inspired outfits >> Not important at all. >> Recommendations from a professional personal stylist >> Pretty important >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Pretty important	Very important	Very important	good prices, good quality, stylish and classy	Seems like it may be a quick option	"secret location" sounds a bit creepy	the secret location, and not liking anything they picked	if it was actually good? $20	online selection	nothing not I know of	again the "secret location" that is creepy	if it was good... $20				Respondent skipped this question
27	INCOMPLETE	489	2015-11-20 14:13:16	2015-11-20 14:21:26	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	No favorites >> Good quality >> Less expensive >> No brand name visible	Does not apply to me.	A little important.	Pretty important	Does not apply to me.	Does not apply to me.	Does not apply to me.	Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important >> Skipping the crowds at malls or boutiques >> Pretty important >> Trying a garment on in person prior to making a purchase >> Pretty importan	le to walk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Does not apply to me. >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Does not apply to me. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important	Pretty important	Pretty importan	in stores >> Does not apply to me. >> Being able to shop sales items as soon as they are discounted >> A little important. >> Being able to walk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Does not apply to me. >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Does not apply to me. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Somewhat important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Somewhat important >> Skipping the crowds at malls or boutiques >> Pretty important >> Trying a garment on in person prior to making a purchase >> Pretty important	none, sorry	stylist? really...	will cost more	would not use it	none	too involved	more money	$0.00				Respondent skipped this question
20	INCOMPLETE	112	2015-11-20 14:06:55	2015-11-20 14:08:48	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Ll bean >> Duluth >> Adidas	Very important	Pretty important	Very important	Very important	Does not apply to me.	Not important at all.	Extremely important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Very important >> Skipping the crowds at malls or boutiques >> Extremely important >> Trying a garment on in person prior to making a purchase >> Very importan	away with the purchase right away (for example: no delay associated with online shopping) >> Very important >> Fun and inspiration >> Very important >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Extremely important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Very important	Extremely important	Very importan	in stores >> Very important >> Being able to shop sales items as soon as they are discounted >> Pretty important >> Being able to walk away with the purchase right away (for example: no delay associated with online shopping) >> Very important >> Fun and inspiration >> Very important >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Extremely important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Very important >> Skipping the crowds at malls or boutiques >> Extremely important >> Trying a garment on in person prior to making a purchase >> Very important												Respondent skipped this question
21	INCOMPLETE	807	2015-11-20 13:56:07	2015-11-20 14:09:34	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Merona, crazy shirts, lands end.	Somewhat important	Very important	Pretty important	Pretty important	Not important at all.	Somewhat important	Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Pretty important >> Skipping the crowds at malls or boutiques >> Pretty important >> Trying a garment on in person prior to making a purchase >> Extremely important >> What else is important to you when it comes to shopping? >> Pric	lk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Pretty important >> Readily available celebrity-inspired outfits >> Not important at all. >> Recommendations from a professional personal stylist >> Somewhat important >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Pretty important	Pretty important	Extremely important	Price	Ability to try on clothes quickly	I'm not a fashion plate, I like to look good but comfort, price and buying something that will last matters more.	I live far from any metro area. Would you have locations I could get to.	I don't know, it would depend on whether it was for a special occasion. As a retired person I have more time than money.	Same as I said before the only difference it's the gender of the shopper. Why would that change things? k	If trying it on and then receiving it by mail Dave's me money I like that feature.	Cost	See previous answers				Respondent skipped this question
22	INCOMPLETE	548	2015-11-20 14:00:43	2015-11-20 14:09:51	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Lucky >> Kors >> Camuto	Not important at all.	Somewhat important	Pretty important	Somewhat important	A little important.	Somewhat important	Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Extremely important >> Skipping the crowds at malls or boutiques >> Extremely important >> Trying a garment on in person prior to making a purchase >> Very importan	e to walk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Somewhat important >> Readily available celebrity-inspired outfits >> A little important. >> Recommendations from a professional personal stylist >> Somewhat important >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Extremely important	Extremely important	Very importan	in stores >> Not important at all. >> Being able to shop sales items as soon as they are discounted >> Somewhat important >> Being able to walk away with the purchase right away (for example: no delay associated with online shopping) >> Pretty important >> Fun and inspiration >> Somewhat important >> Readily available celebrity-inspired outfits >> A little important. >> Recommendations from a professional personal stylist >> Somewhat important >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Extremely important >> Skipping the crowds at malls or boutiques >> Extremely important >> Trying a garment on in person prior to making a purchase >> Very important	personalized	not a lot of selection	where & how much	$25	personalized	none	none	$25				Respondent skipped this question
23	INCOMPLETE	551	2015-11-20 14:06:09	2015-11-20 14:15:21	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Celebrity pink, Levis, Born,	Extremely important	Extremely important	Extremely important	Pretty important	Not important at all.	Somewhat important, A little important.	Not important at all. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Not important at all. >> Skipping the crowds at malls or boutiques >> Not important at all. >> Trying a garment on in person prior to making a purchase >> Not important at all. >> What else is important to you when it comes to shopping? >> No Clutte	to walk away with the purchase right away (for example: no delay associated with online shopping) >> Extremely important >> Fun and inspiration >> Pretty important >> Readily available celebrity-inspired outfits >> Not important at all. >> Recommendations from a professional personal stylist >> Somewhat important, A little important. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Not important at all. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Not important at all.	Not important at all.	Not important at all.	No Clutter	leaving the work to someone else	nothing	Having someone understand my style is not one dimensional	Not sure	Having items waitng on me when I get there	Not being able to take them home with me	Is this safe	Unsure				Respondent skipped this question
28	INCOMPLETE	147	2015-11-20 14:19:09	2015-11-20 14:21:37	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Respondent skipped this question	Levis, JCP, Old Navy	Very important	Pretty important	Very important	Not important at all.	Does not apply to me.	Does not apply to me.	Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Very important >> Skipping the crowds at malls or boutiques >> A little important. >> Trying a garment on in person prior to making a purchase >> Does not apply to me. >> What else is important to you when it comes to shopping? >> as hassel free as possibl	away with the purchase right away (for example: no delay associated with online shopping) >> Very important >> Fun and inspiration >> Not important at all. >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Does not apply to me. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Very important >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Very important	A little important.	Does not apply to me.	as hassel free as possible												Respondent skipped this question
29	COMPLETE	574	2015-11-20 14:14:24	2015-11-20 14:23:58	60+	Female	$100,000 to $124,999	West South Central	Windows Desktop / Laptop	Chobani >> Hyundai >> HEB	Does not apply to me.	Not important at all.	Not important at all.	Does not apply to me.	Does not apply to me.	Not important at all.	Does not apply to me. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Does not apply to me. >> Skipping the crowds at malls or boutiques >> Very important >> Trying a garment on in person prior to making a purchase >> Does not apply to me. >> What else is important to you when it comes to shopping? >> pric	able to walk away with the purchase right away (for example: no delay associated with online shopping) >> Not important at all. >> Fun and inspiration >> Does not apply to me. >> Readily available celebrity-inspired outfits >> Does not apply to me. >> Recommendations from a professional personal stylist >> Not important at all. >> Saving time from: looking for garments in your size, and waiting in line for fitting rooms and cashiers >> Does not apply to me. >> Saving the effort of hunting for things you like from many stores in the mall (i.e. ?Wouldn?t it be great if all the garments that I like are at one central location?") >> Does not apply to me.	Very important	Does not apply to me.	price	none	I do not fit the demographic, not a fashion slave.	encourages materialism and shallowness	I wouldn't use it.	none	not a fashion fanatic	none	I wouldn't use it	0	4	1	for fun >> I go shopping regularly >> before going on a date >> for special occasions (e.g. interviews, friend's wedding, holidays, etc) >> when I feel like I don't have new clothes to wear >> for the new styles that are trending this season >> when I'm inspired by a friend's or a celebrity's outfit
